model,Application Usage,Database,Infrastructure,Networking,Security
autoarima,0.846,0.866,0.735,0.843,0.963
autoets,0.854,0.875,0.759,0.913,0.931
autotheta,1.142,1.266,1.008,1.18,1.013
chronos_bolt_base,0.732,0.747,0.691,0.743,0.733
chronos_bolt_small,0.737,0.742,0.706,0.754,0.744
moirai_1.1_base,0.714,0.735,0.681,0.716,0.762
moirai_1.1_large,0.718,0.744,0.702,0.715,0.749
moirai_1.1_small,0.732,0.74,0.707,0.735,0.792
seasonalnaive,1.0,1.0,1.0,1.0,1.0
time-moe,0.826,0.74,0.806,0.914,0.828
timer,0.828,0.75,0.749,0.909,0.899
timesfm_2_0_500m,0.728,0.761,0.694,0.745,0.702
toto,0.625,0.627,0.585,0.629,0.63
visionts,1.013,1.061,0.893,1.026,0.951
